Ref,Val,Package,PosX,PosY,Rot,Side
"Q1","Q_Photo_NPN","R_0805",100.566220,-149.936200,0.000000,top
"Ref**","Val**","catshape4",69.108520,-94.704100,0.000000,top
"Ref**","Val**","hackerhotel",69.108520,-42.704100,0.000000,top
"Ref**","Val**","badgeteam",60.561220,-61.531500,0.000000,top
"SW2","SW_Push","SW_SPST_SKQG",86.108520,-118.204100,90.000000,top
"SW3","SW_Push","SW_SPST_SKQG",53.108520,-118.204100,270.000000,top
"SW4","SW_Push","SW_SPST_SKQG",86.108520,-141.204100,90.000000,top
"SW5","SW_Push","SW_SPST_SKQG",53.108520,-141.204100,270.000000,top
